"FirstName","LastName","Subject1","Subject2","Subject3","Subject4","Subject5","AverageMarks"
"9N1CcutC7h","FZxxS","30","7","46","23","58","32"
"pYo5pXkDhx","db2Dx","69","95","25","12","71","54"
"i8i2cBRJGZ","5lbBa","37","59","11","50","54","42"
"yxELXyMttM","z2Qto","63","48","59","46","3","43"
"Y7ktaI6Wvn","Db25s","36","6","89","3","30","32"
"GjGQcGGyk5","xfML7","88","47","88","56","98","75"
"rFpgpQvgAu","htuXe","84","18","27","11","17","31"
"tnTr52mx8E","NIafB","89","25","7","55","84","52"
"ZJg42HhdBe","DOWSl","2","97","13","49","4","33"
"x4K2dxVu2c","yLJ8a","6","51","80","63","24","44"
"JKndmVoCAh","sX8Jh","58","8","54","40","33","38"
"J4HtHTX7B5","skqHN","63","46","2","99","41","50"
"WqmYjzjoCN","svWT0","14","83","17","82","87","56"
"f6DjSU9jvW","u5muI","83","96","75","80","16","70"
"3LX3YNI1LT","LJgGz","10","45","43","42","67","41"
"yCjStrmDiH","1RIWK","60","79","54","56","58","61"
"bSSRyyW1MV","8QhD3","3","49","39","78","86","51"
"uJuHtKXy9m","tXVOe","59","49","65","46","62","56"
"kKVxDxz1qL","1IMry","38","22","37","49","86","46"
"vrMDAUsplV","C2PLN","19","33","9","95","12","33"
"cfJHlJA6sS","nct3W","65","40","67","53","59","56"
"txhreHZSPM","KxbkF","76","32","94","43","95","68"
"EQ6qXojhbE","v84QV","2","90","77","8","62","47"
"EOMJACWRP5","QR7Nn","42","54","66","76","31","53"
"WZ83I6pzOh","2ev3C","23","91","6","32","16","33"
"LRCKOfKvNV","mP5HR","4","95","21","14","43","35"
"u26qepSXsC","HHh6t","12","93","92","14","54","53"
"q316urQKYA","0hDdd","23","51","42","44","7","33"
"GbddRfzdUU","Mf0Yx","7","49","60","86","51","50"
"5GfIjdc53W","TtVC3","50","53","57","1","71","46"
"RNr0kUme6g","kMIhU","49","47","35","8","45","36"
"dxCg74VeeM","JVSaJ","88","10","44","69","19","46"
"S69o9nVmhM","pXquA","80","51","75","66","43","63"
"R8NbU0LmrX","lKoL2","75","43","21","43","41","44"
"q7kCdALjkv","SnRnu","72","74","1","9","65","44"
"kyBVA1G5gi","4NUGn","60","37","82","73","6","51"
"pkmHGb9Z8h","LfuHt","81","89","99","95","69","86"
"In2RxnPBfs","fVikb","90","24","84","93","67","71"
"EoU0bGVBOt","amsNM","49","60","86","22","63","56"
"HCHf4BjytZ","Rb4kd","41","96","90","94","52","74"
"01dbRHlgEA","4oFu1","14","27","97","55","95","57"
"F6rbz4SAsB","P01z6","64","98","25","100","94","76"
"OH4RArvg23","pehu4","79","99","23","81","74","71"
"cYe8NRjqR7","FzZv9","17","67","96","50","28","51"
"MQPNHbT6aS","Q9CaM","60","21","90","41","77","57"
"npiKBLakzT","nJz4i","6","88","76","9","55","46"
"3UJk7Qi4OB","q7PrS","33","42","82","58","24","47"
"sn73gb3Scl","ZujjH","69","7","86","40","35","47"
"6Zef7cTKE8","pi0jB","20","75","46","4","42","37"
"0m29SUME07","UMCco","61","24","77","27","73","52"
"ukOdQysF7f","6ELNi","94","32","23","18","41","41"
"n48YE4RjA0","5OCZe","25","31","30","30","11","25"
"MPSRVgRizF","Qe7QJ","96","100","91","58","79","84"
"aQaD4Zo2bx","IC02n","77","95","20","0","31","44"
"52yNL6fU2j","lIqgg","7","50","19","35","91","40"
"76bRprc9k1","Sv19P","6","83","99","93","40","64"
"9JmiKYXHkY","tQPyD","97","23","79","84","99","76"
"s6u4GFyK7d","ldazl","97","96","11","63","82","69"
"JFtmPtuS1p","7aWpH","36","39","45","47","30","39"
"RPZdebnzbc","BbbsG","16","39","33","23","16","25"
"OopkLKxajJ","2oqtj","79","91","81","93","23","73"
"aGSCLdk6BS","yv2qj","11","56","10","99","34","42"
"36SyNLFPlD","QDh3B","26","54","13","87","85","53"
"XGAd6de7Vf","E2NcO","29","6","18","10","19","16"
"aAcrnVdo2L","cWP7E","23","15","23","89","31","36"
"pR62hWJQ6C","vQYPB","35","59","95","73","74","67"
"sxR8v8HMLi","3Tdn6","69","78","1","42","32","44"
"UfjTAPoqfW","Xir1K","12","38","99","89","48","57"
"x4VrBxcccl","EyzeO","30","28","60","85","32","47"
"CIGkJVsP6h","bZa3a","49","29","0","72","69","43"
"UmNRW5kbn4","oI6yh","88","59","4","92","26","53"
"IyMPmqFB8a","FzcTe","56","51","7","35","48","39"
"c6M1mk9INv","VZ7u3","65","73","84","26","6","50"
"kvpdqClOcP","NeW9A","69","31","87","18","99","60"
"TAvvu1j4Qn","S6mL4","6","28","90","74","13","42"
"0x264HGQnc","lij9U","34","65","31","57","13","40"
"YhX9EEnd7r","preWu","13","96","72","64","60","61"
"nI0VdWfAzY","s5zaT","73","21","78","98","72","68"
"5PN8pQ1nxe","lX5OQ","54","30","82","27","98","58"
"BXRxb7VLDH","tcKAe","70","37","87","22","82","59"
"EEeCvoyvQb","hCm25","96","88","78","29","58","69"
"ovxNy4qZmf","7U4Da","55","17","29","45","73","43"
"l4GBg6XKlu","nfegg","45","33","34","71","92","55"
"TjifhP4VEX","xWTR9","40","22","43","75","95","55"
"ZkDgUWBRTd","BFcIP","78","22","49","70","68","57"
"DKNd9MGAl8","oizy2","50","20","67","65","91","58"
"kZZ6u8Nreq","lAPTA","96","57","44","48","24","53"
"ujjCuTrW3V","9E0K2","71","24","43","0","55","38"
"Irson8opys","cOkOZ","53","38","97","84","78","70"
"fsFmayEXsx","QokAI","69","53","59","95","78","70"
"nQH78F4SrH","M9UVi","23","74","50","14","30","38"
"XfBm3YWUgu","bJSVv","87","78","77","75","53","74"
"TrAWA9prb5","4JVJI","18","18","88","3","32","31"
"LQadD73JFs","9RHR3","8","50","53","3","95","41"
"47yjtsC0xG","5hrAq","67","34","73","92","92","71"
"uYpfio3sVu","GAcmr","43","18","57","56","88","52"
"hM3GGy9MqM","9mDpu","14","24","90","97","36","52"
"4NOvDSbnE3","JMAWg","82","71","46","44","79","64"
"4GtV6uBCYi","tkWbM","6","62","36","56","69","45"
"UPYMFsr4x2","DqarR","14","86","43","69","55","53"
"k5Yiz7H7KP","ONpl8","69","19","42","100","78","61"
"BQjPLC3CXL","eiLit","17","54","29","29","5","26"
"JFkWG2alKZ","hT5I7","97","73","36","5","80","58"
"C4tp4juUCs","QfPBW","62","10","63","32","32","39"
"TuEDXWYMzB","MpHev","100","40","74","79","22","63"
"WNRF7h0rUO","ocV31","72","99","56","70","69","73"
